item_index,timestamp,item_id,target_value
0,2020-02-23 14:41:40,10842,5
1,2020-02-23 14:45:31,10842,5
2,2020-02-23 14:50:30,10842,5
3,2020-02-23 14:55:31,10842,5
4,2020-02-23 15:00:31,10842,5
5,2020-02-23 15:05:31,10842,5
6,2020-02-23 15:10:31,10842,5
7,2020-02-23 15:15:31,10842,5
8,2020-02-23 15:20:31,10842,15
9,2020-02-23 15:25:31,10842,15
10,2020-02-23 15:30:31,10842,15
11,2020-02-23 15:35:31,10842,15
12,2020-02-23 15:40:31,10842,15
13,2020-02-23 15:45:31,10842,15
14,2020-02-23 15:50:31,10842,15
15,2020-02-23 15:55:31,10842,15
16,2020-02-23 16:00:31,10842,10
17,2020-02-23 16:05:31,10842,10
18,2020-02-23 16:10:31,10842,15
19,2020-02-23 16:15:31,10842,25
20,2020-02-23 16:20:31,10842,35
21,2020-02-23 16:25:30,10842,35
22,2020-02-23 16:30:31,10842,35
23,2020-02-23 16:35:31,10842,35
24,2020-02-23 16:40:31,10842,35
25,2020-02-23 16:45:31,10842,35
26,2020-02-23 16:50:31,10842,45
27,2020-02-23 16:55:31,10842,45
28,2020-02-23 17:00:31,10842,45
29,2020-02-23 17:05:31,10842,45
30,2020-02-23 17:10:32,10842,45
31,2020-02-23 17:15:31,10842,45
32,2020-02-23 17:21:34,10842,45
33,2020-02-23 17:28:26,10842,45
34,2020-02-23 17:30:31,10842,45
35,2020-02-23 17:38:49,10842,45
36,2020-02-23 17:40:31,10842,45
37,2020-02-23 17:45:31,10842,55
38,2020-02-23 17:50:31,10842,55
39,2020-02-23 17:56:27,10842,-2
40,2020-02-23 18:00:31,10842,50
41,2020-02-23 18:08:46,10842,50
42,2020-02-23 18:10:31,10842,50
43,2020-02-23 18:16:28,10842,50
44,2020-02-23 18:20:31,10842,50
45,2020-02-23 18:25:31,10842,50
46,2020-02-23 18:30:31,10842,50
47,2020-02-23 18:35:31,10842,50
48,2020-02-23 18:40:31,10842,50
49,2020-02-23 18:45:31,10842,50
50,2020-02-23 18:50:31,10842,50
51,2020-02-23 18:55:31,10842,50
52,2020-02-23 19:00:31,10842,50
53,2020-02-23 19:06:30,10842,50
54,2020-02-23 19:10:31,10842,50
55,2020-02-23 19:15:31,10842,50
56,2020-02-23 19:20:31,10842,50
57,2020-02-23 19:25:31,10842,50
58,2020-02-23 19:30:31,10842,50
59,2020-02-23 19:35:31,10842,50
60,2020-02-23 19:40:31,10842,50
61,2020-02-23 19:45:31,10842,50
62,2020-02-23 19:50:31,10842,50
63,2020-02-23 19:55:31,10842,50
64,2020-02-23 20:00:31,10842,50
65,2020-02-23 20:05:31,10842,50
66,2020-02-23 20:10:30,10842,50
67,2020-02-23 20:15:31,10842,50
68,2020-02-23 20:20:31,10842,50
69,2020-02-23 20:25:31,10842,50
70,2020-02-23 20:30:31,10842,50
71,2020-02-23 20:35:31,10842,50
72,2020-02-23 20:40:31,10842,50
73,2020-02-23 20:45:31,10842,50
74,2020-02-23 20:50:31,10842,45
75,2020-02-23 20:55:31,10842,45
76,2020-02-24 12:05:31,10842,-1
77,2020-02-24 12:10:31,10842,-1
78,2020-02-24 12:15:31,10842,-1
79,2020-02-24 12:20:31,10842,-1
80,2020-02-24 12:25:31,10842,-1
81,2020-02-24 12:30:31,10842,-1
82,2020-02-24 12:36:29,10842,-1
83,2020-02-24 12:40:31,10842,-1
84,2020-02-24 12:45:32,10842,-1
85,2020-02-24 12:50:31,10842,-1
86,2020-02-24 12:55:31,10842,-1
87,2020-02-24 13:00:31,10842,-1
88,2020-02-24 13:05:31,10842,-1
89,2020-02-24 13:10:31,10842,-1
90,2020-02-24 13:15:31,10842,-1
91,2020-02-24 13:20:30,10842,-1
92,2020-02-24 13:25:31,10842,-1
93,2020-02-24 13:30:31,10842,-1
94,2020-02-24 13:35:31,10842,-1
95,2020-02-24 13:40:31,10842,-1
96,2020-02-24 13:46:29,10842,-2
97,2020-02-24 13:50:31,10842,-2
98,2020-02-24 13:55:31,10842,-2
99,2020-02-24 14:00:31,10842,-2
100,2020-02-24 14:05:31,10842,5
101,2020-02-24 14:10:31,10842,5
102,2020-02-24 14:15:31,10842,5
103,2020-02-24 14:20:31,10842,5
104,2020-02-24 14:25:30,10842,5
105,2020-02-24 14:30:31,10842,5
106,2020-02-24 14:35:31,10842,5
107,2020-02-24 14:40:31,10842,5
108,2020-02-24 14:45:31,10842,5
109,2020-02-24 14:50:31,10842,5
110,2020-02-24 14:55:32,10842,5
111,2020-02-24 15:00:32,10842,5
112,2020-02-24 15:05:31,10842,5
113,2020-02-24 15:10:31,10842,5
